date1,hour1,price,output
23.01.2015,18,57.24,30.671999999999997
23.01.2015,19,55.82,26.123
23.01.2015,20,49.48,22.308000000000003
23.01.2015,21,44.28,21.063000000000002
23.01.2015,22,46.25,21.961
23.01.2015,23,46.29,23.554000000000002
24.01.2015,0,44.01,22.908
24.01.2015,1,43.12,22.309
24.01.2015,2,40.68,22.487
24.01.2015,3,36.1,23.373
24.01.2015,4,35.0,24.368000000000002
24.01.2015,5,35.0,23.2
24.01.2015,6,39.1,21.065
24.01.2015,7,41.35,20.618000000000002
24.01.2015,8,42.58,19.192999999999998
24.01.2015,9,46.67,21.131999999999998
24.01.2015,10,45.45,30.179000000000002
24.01.2015,11,46.87,38.397
24.01.2015,12,45.92,42.558
24.01.2015,13,41.34,42.373999999999995
24.01.2015,14,38.53,40.718
24.01.2015,15,35.85,38.328
24.01.2015,16,34.52,38.856
24.01.2015,17,40.46,41.955
24.01.2015,18,50.75,46.007
24.01.2015,19,51.4,53.101000000000006
24.01.2015,20,47.26,59.251000000000005
24.01.2015,21,42.11,60.985
24.01.2015,22,47.16,61.467
24.01.2015,23,45.95,60.398
25.01.2015,0,44.63,58.841
25.01.2015,1,39.87,55.773999999999994
25.01.2015,2,39.02,53.1
25.01.2015,3,33.81,53.211999999999996
25.01.2015,4,29.83,54.753
25.01.2015,5,28.64,55.652
25.01.2015,6,31.23,55.81399999999999
25.01.2015,7,35.11,54.948
25.01.2015,8,39.01,53.426
25.01.2015,9,41.1,55.553999999999995
25.01.2015,10,41.75,56.193000000000005
25.01.2015,11,41.77,55.233000000000004
25.01.2015,12,43.17,53.39
25.01.2015,13,40.44,51.158
25.01.2015,14,38.5,48.648999999999994
25.01.2015,15,34.82,45.331
25.01.2015,16,35.9,44.007
25.01.2015,17,40.5,41.333999999999996
25.01.2015,18,51.43,37.419000000000004
25.01.2015,19,51.81,35.241
25.01.2015,20,48.83,34.304
25.01.2015,21,44.19,32.477
25.01.2015,22,45.46,30.554000000000002
25.01.2015,23,45.17,29.491
26.01.2015,0,40.84,28.901
26.01.2015,1,38.0,27.018
26.01.2015,2,35.09,26.69
26.01.2015,3,32.0,25.377
26.01.2015,4,30.1,23.857
26.01.2015,5,36.99,22.705
26.01.2015,6,45.1,20.928
26.01.2015,7,55.16,18.333
26.01.2015,8,56.16,17.31
26.01.2015,9,55.55,20.754
26.01.2015,10,53.63,25.38
26.01.2015,11,53.79,27.464000000000002
26.01.2015,12,51.47,27.548000000000002
26.01.2015,13,51.87,26.778000000000002
26.01.2015,14,52.85,23.592
26.01.2015,15,49.69,19.425
26.01.2015,16,45.46,17.474
26.01.2015,17,50.06,17.768
26.01.2015,18,58.85,20.042
26.01.2015,19,54.94,24.55
26.01.2015,20,48.5,27.741
26.01.2015,21,43.84,28.905
26.01.2015,22,44.0,28.081999999999997
26.01.2015,23,47.41,28.339000000000002
27.01.2015,0,41.64,25.433000000000003
27.01.2015,1,40.4,25.844
27.01.2015,2,41.1,28.031
27.01.2015,3,38.05,30.474
27.01.2015,4,33.68,31.051
27.01.2015,5,39.03,26.066999999999997
27.01.2015,6,45.21,25.846
27.01.2015,7,51.76,23.37
27.01.2015,8,54.61,21.063000000000002
27.01.2015,9,55.13,24.55
27.01.2015,10,55.07,28.863000000000003
27.01.2015,11,52.91,34.029
27.01.2015,12,49.25,36.014
27.01.2015,13,49.49,36.67
27.01.2015,14,49.48,35.74
27.01.2015,15,46.97,37.117
27.01.2015,16,45.36,38.327
27.01.2015,17,52.62,37.866
27.01.2015,18,63.29,33.385999999999996
27.01.2015,19,60.17,29.8
27.01.2015,20,52.02,26.666999999999998
27.01.2015,21,47.93,25.01
27.01.2015,22,47.2,20.588
27.01.2015,23,45.14,18.207
28.01.2015,0,42.74,16.548
28.01.2015,1,40.38,16.589000000000002
28.01.2015,2,39.26,15.915
28.01.2015,3,36.71,15.537
28.01.2015,4,30.8,15.196
28.01.2015,5,29.76,17.458
28.01.2015,6,42.07,20.586
28.01.2015,7,48.45,20.132
28.01.2015,8,52.15,17.276
28.01.2015,9,52.15,21.528000000000002
28.01.2015,10,51.59,20.45
28.01.2015,11,51.59,13.259
28.01.2015,12,49.83,17.489
28.01.2015,13,48.41,21.737
28.01.2015,14,44.39,18.694000000000003
28.01.2015,15,40.0,13.265999999999998
28.01.2015,16,40.22,15.087
28.01.2015,17,44.42,18.337
28.01.2015,18,51.0,19.095
28.01.2015,19,50.37,24.548000000000002
28.01.2015,20,52.59,33.46
28.01.2015,21,49.35,38.192
28.01.2015,22,49.13,42.351000000000006
28.01.2015,23,45.94,44.25
29.01.2015,0,45.28,45.501000000000005
29.01.2015,1,42.67,44.942
29.01.2015,2,42.05,40.482
29.01.2015,3,41.23,36.227
29.01.2015,4,38.48,39.703
29.01.2015,5,40.0,48.851000000000006
29.01.2015,6,44.52,51.922
29.01.2015,7,49.69,47.053999999999995
29.01.2015,8,57.64,45.938
29.01.2015,9,59.82,47.482
29.01.2015,10,61.44,44.248999999999995
29.01.2015,11,56.01,43.246
29.01.2015,12,50.56,45.153999999999996
29.01.2015,13,51.03,39.678000000000004
29.01.2015,14,54.25,33.235
29.01.2015,15,52.73,32.334
29.01.2015,16,50.49,34.509
29.01.2015,17,61.46,37.81
29.01.2015,18,67.67,50.369
29.01.2015,19,58.38,59.364
29.01.2015,20,47.87,68.9
29.01.2015,21,39.9,69.631
29.01.2015,22,36.07,64.306
29.01.2015,23,41.1,64.155
30.01.2015,0,33.02,64.304
30.01.2015,1,28.06,60.861000000000004
30.01.2015,2,26.42,59.52
30.01.2015,3,24.74,58.57
30.01.2015,4,23.89,54.36
30.01.2015,5,26.07,46.937
30.01.2015,6,38.3,38.539
30.01.2015,7,48.76,31.373
30.01.2015,8,49.19,29.980999999999998
30.01.2015,9,49.02,28.886
30.01.2015,10,49.51,28.754
30.01.2015,11,48.43,32.478
30.01.2015,12,47.45,37.758
30.01.2015,13,44.95,41.653999999999996
30.01.2015,14,43.24,46.067
30.01.2015,15,43.71,49.435
30.01.2015,16,44.0,47.172
30.01.2015,17,46.69,43.317
30.01.2015,18,50.0,37.951
30.01.2015,19,52.01,30.674
30.01.2015,20,49.0,25.843000000000004
30.01.2015,21,42.94,24.154
30.01.2015,22,45.48,20.002
30.01.2015,23,45.51,16.122
31.01.2015,0,48.98,12.808
31.01.2015,1,41.15,8.283
31.01.2015,2,39.69,5.048
31.01.2015,3,33.11,3.623
